pool,n_pool,n_sub,pa,jas,kmer3,app_ll,atac
run_dps_pw000_b25_r1,83536,640,7.698803901672363,0.7153406125626317,0.5234071771226477,-234.19293212890625,39.6875
run_dps_pw000_b25_r2,88763,640,7.8127875328063965,0.7191581205547614,0.5420618172940646,-243.28126525878903,54.37499999999999
run_dps_pw000_b25_r3,81114,640,7.953857421875,0.73915898912266,0.5914875940012537,-244.52899169921875,65.3125
run_dps_pw000_b50_r1,162501,640,7.704451560974121,0.7156693340355762,0.5349411529971755,-236.2651824951172,43.4375
run_dps_pw000_b50_r2,158214,640,8.099569320678711,0.6866382873289926,0.5508165212571228,-245.5343017578125,64.84375
run_dps_pw000_b50_r3,155587,640,7.979681968688965,0.7419966828370579,0.5983324757102815,-246.37924194335935,67.8125
run_dps_pw030_b25_r1,67960,640,7.769585609436035,0.6433065638878465,0.4150133011507727,-244.72604370117188,77.34375
run_dps_pw030_b25_r2,69254,640,7.548144340515137,0.5866742511165187,0.4430437693920435,-240.33663940429688,72.03125
run_dps_pw030_b25_r3,67721,640,7.672694683074951,0.662660797957505,0.453534996894148,-244.10452270507807,74.84375
run_dps_pw030_b50_r1,122563,640,7.813600063323975,0.6554775073388457,0.4166340394112826,-245.2952880859375,78.125
run_dps_pw030_b50_r2,133851,640,7.649876594543457,0.577893914786788,0.43984620990061,-237.96682739257807,74.375
run_dps_pw030_b50_r3,117505,640,7.7165679931640625,0.6565169660035648,0.451078970321017,-245.61126708984372,77.34375
run_nodps_pw030_b25_r1,975,640,7.317050933837891,0.338384146677196,0.1995863378017702,-163.86997985839844,8.75
run_nodps_pw030_b25_r2,1150,640,7.255815029144287,0.3041874753681924,0.1659492959179074,-150.49310302734375,6.875000000000001
run_nodps_pw030_b25_r3,2973,640,7.343975067138672,0.3100211579420267,0.1818704019318999,-141.510986328125,1.5625
run_nodps_pw030_b50_r1,19584,640,7.347848892211914,0.3903426999762365,0.1566610888832314,-197.97804260253903,37.65625
run_nodps_pw030_b50_r2,30927,640,7.274664878845215,0.3130487291415278,0.1647824030945399,-152.89404296875,15.312500000000002
run_nodps_pw030_b50_r3,59031,640,7.342059135437012,0.3153413703394176,0.1866305309750061,-141.88272094726562,2.1875
run_dps_pw030_b25_gct060_gw10_r1,67504,640,7.791462898254394,0.6362320967124715,0.4660030618199941,-247.6763610839844,82.8125
run_dps_pw030_b25_gct060_gw10_r2,68726,640,7.644749641418457,0.597715250750879,0.5002846333440039,-242.5838623046875,75.0
run_dps_pw030_b25_gct060_gw10_r3,72624,640,7.766979217529297,0.6728818226606891,0.4915526267210851,-247.33013916015625,84.6875
run_dps_pw030_b25_gct060_nobio_r1,70863,640,7.918921947479248,0.6636162133786512,0.4850688584436646,-248.53602600097656,92.03125
run_dps_pw030_b25_gct060_nobio_r2,72382,640,7.629437923431396,0.674956467503673,0.5335306330999185,-243.9791259765625,78.28125
run_dps_pw030_b50_gct060_gw10_r2,137660,640,7.903050422668457,0.6025680372662509,0.5161412244472012,-244.6324157714844,82.34375
run_dps_pw030_b50_gct060_gw10_r3,127391,640,7.742374420166016,0.6743920212332939,0.4882496366647655,-248.40185546875,85.625
run_dps_pw030_b50_bf4_r1,98995,640,7.633163928985596,0.5862035572408997,0.4074704655637902,-244.613525390625,74.375
run_dps_pw030_b50_bf4_r2,99467,640,7.585806846618652,0.5854694640059783,0.4530740909968277,-237.9071807861328,76.5625
